"cYr","pptAvg","tminAvg","tmaxAvg","tmeanAvg","tAvg"
1900,1490.5607115855,6.49968075012972,19.2440804610481,12.8718806055889,12.8718806055889
1901,1799.96599555259,5.08796579200948,17.8200094507449,11.4539876213772,11.4539876213772
1902,1263.50995018901,6.31872826328663,18.8792389370692,12.5989836001779,12.5989836001779
1903,1503.32682588392,5.96720802757394,18.5762472759618,12.2717276517678,12.2717276517678
1904,1101.48503046475,5.53964268771773,18.5734518938552,12.0565472907864,12.0565472907864
1905,1479.74516477652,6.39067530205322,18.5770091171892,12.4838422096212,12.4838422096212
1906,1744.38932043585,6.64188533096139,19.2040002594322,12.9229427951968,12.9229427951968
1907,1321.47054436291,6.46162612111778,19.2412404936624,12.8514333073901,12.8514333073901
1908,1412.68443362242,6.62306407975688,19.5905552961233,13.1068096879401,13.1068096879401
1909,1618.63717945297,6.2584981839745,19.4308589059373,12.8446785449559,12.8446785449559
1910,1325.04270002223,5.61150433622415,18.7678518642058,12.1896781002149,12.189678100215
1911,1396.04363308873,7.32561463197687,20.312804758728,13.8192096953525,13.8192096953525
1912,1525.63908249944,5.86166225631902,18.5986299014158,12.2301460788674,12.2301460788674
1913,1374.69111718924,6.34609947372323,19.976310725669,13.1612050996961,13.1612050996961
1914,1288.83441138537,6.01733351864205,19.1835114150174,12.6004224668297,12.6004224668297
1915,1501.30506915722,6.15535204951449,18.9423407456823,12.5488463975984,12.5488463975984
1916,1433.05255992884,5.92190467719221,19.4438694314728,12.6828870543325,12.6828870543325
1917,1527.39812141428,4.86159702764806,18.2614411088874,11.5615190682677,11.5615190682677
1918,1541.52235801646,6.41479008227707,19.3674243940405,12.8911072381588,12.8911072381588
1919,1402.13506159662,6.67961392780371,20.0207488696168,13.3501813987102,13.3501813987102
1920,1716.14985590394,5.70252805574086,18.5815562967905,12.1420421762657,12.1420421762657
1921,1380.9883388926,7.24785471796013,20.7882736639241,14.0180641909421,14.0180641909421
1922,1539.08316655548,7.05530987324884,20.0397209250612,13.547515399155,13.547515399155
1923,1500.67337558372,6.27499684975169,19.6234275813505,12.9492122155511,12.9492122155511
1924,1429.68241449855,5.14043065747536,18.6391800830183,11.8898053702468,11.8898053702468
1925,999.331143428953,6.70217778519013,20.5187367504262,13.6104572678082,13.6104572678082
1926,1435.48722481654,5.95021225261285,19.2199080127492,12.585060132681,12.585060132681
1927,1364.80996397598,7.06981558075754,20.1523650581869,13.6110903194722,13.6110903194722
1928,1513.38550189015,5.68352283003483,18.9539335853532,12.318728207694,12.318728207694
